gen,K1,K2,K3,K4,K5,K6,T1,T2,T3,T4,T5,T6
GEN0453,12,14,11,23,17,44,39,14,26,51,18,35
GEN0454,47,21,23,28,41,95,40,36,37,45,41,27
GEN0455,29,26,27,40,23,65,66,21,30,65,61,25
GEN0456,419,322,332,288,474,863,367,348,481,877,721,383
GEN0457,280,297,321,329,380,570,471,229,365,924,507,398
GEN0458,375,523,535,630,527,689,561,574,608,963,840,488
GEN0459,76,84,56,32,25,160,85,43,82,101,85,99
GEN0460,41,60,48,41,30,69,125,32,61,93,99,84
GEN0461,119,191,309,320,266,655,340,244,186,341,398,362
GEN0462,13,42,35,53,35,43,32,15,43,68,41,32
GEN0463,184,182,257,279,313,416,624,439,408,979,1064,370
GEN0464,167,191,212,320,287,315,353,153,153,285,519,166
GEN0465,14,30,11,26,22,44,34,23,37,33,20,13
GEN0466,37,104,43,47,69,139,77,57,44,162,72,53
GEN0467,40,60,61,86,48,77,71,70,30,134,132,40
GEN0468,1044,1139,1002,987,1111,1687,1985,842,989,1424,1512,1248
GEN0469,3492,4760,3144,3596,3321,7408,8335,3223,4598,10676,6630,5917
GEN0470,33,50,51,54,27,87,92,70,41,142,115,74
GEN0471,76,26,49,68,48,113,95,62,78,75,185,61
GEN0472,1,1,0,1,2,2,4,1,2,0,3,1
GEN0473,84,95,52,125,111,120,117,70,70,114,103,108
GEN0474,42,70,48,44,48,121,119,79,60,81,103,95
GEN0475,4,14,15,7,14,17,7,14,14,15,8,12
GEN0476,198,216,169,200,264,460,238,208,331,429,322,301
GEN0477,3,1,1,5,10,12,5,2,0,7,6,6
GEN0478,60,47,32,58,59,94,82,31,38,69,63,24
GEN0479,47,102,87,106,116,180,80,70,110,119,178,128
GEN0480,12,6,4,6,11,20,12,10,3,28,22,3
GEN0481,303,218,213,363,304,770,2648,995,1261,1910,2109,1425
GEN0482,308,326,491,391,233,988,4555,3683,3564,2653,3177,1825
GEN0483,5,5,5,1,6,15,9,2,13,11,12,8
GEN0484,6,5,7,8,3,9,19,4,9,31,11,6
GEN0485,232,212,117,242,176,192,268,137,178,327,218,253
GEN0486,34,94,38,61,79,102,104,37,75,52,107,109
GEN0487,13,4,9,11,8,22,24,12,37,36,34,33
GEN0488,20,46,24,27,39,31,37,36,37,65,44,45
GEN0489,45,38,52,71,49,124,98,55,62,108,63,50
GEN0490,55,70,41,57,69,62,72,43,61,75,116,73
GEN0491,242,124,172,233,202,593,608,138,222,441,335,311
GEN0492,62,74,104,160,128,324,103,95,154,244,173,180
GEN0493,1250,771,1261,1535,1272,1899,1807,837,1133,2620,1987,1265
GEN0494,553,429,412,538,768,980,849,590,494,673,945,589
GEN0495,278,283,95,162,290,344,203,228,185,357,304,298
GEN0496,254,376,406,356,313,747,718,356,288,408,841,506
GEN0497,415,370,488,657,681,626,798,660,566,1114,749,489
GEN0498,140,189,180,172,220,276,293,158,345,324,356,128
GEN0499,6,6,9,8,9,9,5,4,4,4,3,4
GEN0500,272,132,267,325,121,398,342,290,408,407,354,334
GEN0501,58,68,93,114,133,122,102,58,38,186,91,117
GEN0502,1067,1258,804,700,684,1396,1694,855,489,2152,1006,1217
GEN0503,67,67,114,83,86,210,84,56,101,99,115,101
GEN0504,138,193,166,133,203,153,49,35,13,31,56,30
GEN0505,142,117,95,161,112,166,39,32,32,27,41,36
GEN0506,1280,1152,768,1195,878,1777,1666,1204,1064,1903,1507,1036
GEN0507,83,69,71,79,117,249,133,66,92,217,123,104
GEN0508,25,30,29,50,55,40,93,24,46,100,85,54
GEN0509,137,124,129,86,111,282,114,110,101,233,155,134
GEN0510,15,25,26,34,50,52,35,25,25,45,55,28
GEN0511,35,104,96,89,113,174,105,102,54,206,133,96
GEN0512,44,71,109,80,84,147,56,60,67,132,80,82
GEN0513,87,83,60,78,121,337,133,134,83,178,191,52
GEN0514,2019,1353,1633,1800,2208,1728,2386,871,1214,2463,2810,2223
GEN0515,31,37,40,40,50,62,16,31,30,53,63,40
GEN0516,47,68,56,66,86,90,96,84,47,145,142,69
GEN0517,22,63,44,71,54,80,44,24,34,100,62,27
GEN0518,90,268,156,277,209,325,353,193,244,325,321,294
GEN0519,8,14,7,6,15,12,25,6,7,26,17,11
GEN0520,19,26,21,26,19,47,29,15,27,53,48,33
GEN0521,46,32,50,55,83,81,93,33,49,59,119,53
GEN0522,136,223,144,175,124,218,252,104,177,194,277,104
GEN0523,45,41,54,116,101,139,154,48,111,69,83,80
GEN0524,16,30,33,34,31,36,63,31,35,47,47,30
GEN0525,10,16,6,26,29,39,20,5,16,37,25,23
GEN0526,122,150,137,88,171,382,265,150,122,283,188,189
GEN0527,700,538,528,637,281,1654,1023,534,802,1002,643,648
GEN0528,67,88,56,114,98,277,445,388,308,783,874,781
GEN0529,67,100,131,81,115,121,67,81,88,133,128,75
GEN0530,96,134,91,105,84,152,151,98,138,165,198,148
GEN0531,10,9,14,16,10,28,8,7,18,20,16,12
GEN0532,18,33,37,32,29,71,55,39,35,85,33,45
GEN0533,53,25,32,63,36,122,65,34,59,67,61,82
GEN0534,109,135,50,110,130,181,28,26,18,88,26,62
GEN0535,105,57,89,59,60,80,90,48,50,70,79,27
GEN0536,9,5,4,8,11,27,11,6,14,10,14,17
GEN0537,379,331,212,368,424,464,740,347,577,521,360,316
GEN0538,697,628,688,1223,910,2125,1146,959,785,1573,1240,1814
GEN0539,36,30,31,43,62,73,37,59,49,115,106,36
GEN0540,90,64,89,164,94,325,145,103,94,353,171,61
GEN0541,89,74,103,98,55,287,274,75,80,292,157,143
GEN0542,198,72,183,158,246,571,280,244,310,419,415,196
GEN0543,1,3,3,8,7,14,4,4,6,21,12,10
GEN0544,859,518,688,739,936,1817,640,649,916,1552,939,1172
GEN0545,45,20,28,23,21,48,52,30,31,41,38,35
GEN0546,380,293,343,242,501,1067,815,406,621,1290,1179,505
GEN0547,63,113,44,78,104,134,106,41,76,107,127,80
GEN0548,16,39,15,27,31,36,48,35,25,61,95,46
GEN0549,32,50,56,110,48,137,144,36,86,84,65,92
GEN0550,191,160,383,293,307,811,630,424,574,756,709,308
GEN0551,24,8,11,24,6,27,22,9,15,26,44,37
GEN0552,31,25,18,29,35,106,50,22,66,39,72,65
GEN0553,42,34,22,15,27,51,27,29,25,75,56,22
GEN0554,7,3,6,2,3,8,6,2,2,19,3,6
GEN0555,494,461,393,663,716,1642,638,309,1067,824,1226,793
GEN0556,104,125,127,206,216,301,209,238,177,210,245,194
GEN0557,64,56,60,42,50,134,137,42,45,96,74,50
GEN0558,494,325,554,290,385,1173,492,309,419,1066,629,511
GEN0559,9,8,8,7,21,23,161,94,116,183,148,168
GEN0560,81,17,73,34,73,89,293,188,160,367,571,182
GEN0561,542,915,957,1117,562,1801,990,957,882,2466,1371,1291
GEN0562,279,259,162,321,295,653,245,242,658,625,512,214
GEN0563,5,1,1,0,2,4,4,1,2,5,5,2
GEN0564,0,0,1,1,0,3,2,0,0,0,0,0
GEN0565,3,14,12,13,7,32,4,2,0,3,6,0
GEN0566,363,359,217,255,386,952,611,408,451,976,789,244
GEN0567,16,21,19,54,28,31,62,40,42,113,126,90
GEN0568,33,46,28,81,28,107,86,37,42,55,104,44
GEN0569,224,103,228,312,120,299,331,239,203,162,409,369
GEN0570,8,25,19,22,15,37,32,28,8,41,12,12
GEN0571,104,89,114,65,93,267,136,72,142,72,99,126
GEN0572,128,197,175,177,203,645,242,245,286,474,340,102
GEN0573,222,89,106,129,106,167,219,93,152,312,328,113
GEN0574,102,148,151,98,138,117,296,142,211,299,123,109
GEN0575,14,24,16,20,40,47,41,22,30,43,54,32
GEN0576,113,150,161,77,164,285,290,132,98,398,171,176
GEN0577,36,26,28,24,23,46,48,35,53,42,66,26
GEN0578,539,687,571,611,367,814,1011,459,273,889,523,330
GEN0579,2468,2953,4615,5653,3770,5916,8785,2191,4723,4795,9965,5226
GEN0580,26,17,14,28,13,16,35,16,14,37,42,28
GEN0581,4,1,2,1,3,0,4,2,1,3,6,2
GEN0582,34,32,16,31,31,57,81,24,21,73,64,51
GEN0583,100,173,172,85,128,123,106,86,195,188,130,164
GEN0584,416,525,408,507,318,1004,305,294,459,589,510,515
GEN0585,295,180,353,322,433,926,503,201,241,866,440,634
GEN0586,16,14,20,33,18,34,8,6,13,14,11,20
GEN0587,20,29,22,9,11,25,20,12,29,23,18,23
GEN0588,444,806,581,552,551,1126,746,683,712,807,812,397
GEN0589,12,11,21,11,18,19,14,14,12,31,10,9
GEN0590,270,381,329,274,379,911,539,274,302,605,305,531
GEN0591,34,43,78,58,31,122,25,43,79,186,71,44
GEN0592,294,208,260,418,238,573,378,180,326,256,330,228
GEN0593,190,130,200,201,252,495,380,151,181,272,343,237
GEN0594,212,127,226,212,224,327,506,248,150,520,423,143
GEN0595,289,422,155,214,210,619,491,224,252,486,352,229
GEN0596,13,11,10,11,1,40,41,13,14,23,14,14
GEN0597,146,83,107,128,106,203,246,56,109,180,161,129
GEN0598,30,90,53,63,79,124,112,51,64,103,109,103
GEN0599,52,61,71,155,123,218,228,90,74,122,224,89
GEN0600,760,396,462,512,468,1183,1298,478,364,728,1294,517
GEN0601,26,45,56,33,40,58,92,28,33,121,118,97
GEN0602,14,29,16,20,19,25,23,19,22,37,26,24
GEN0603,8,11,20,24,18,30,47,20,12,35,22,29
GEN0604,54,51,45,30,47,67,37,33,30,89,49,63
GEN0605,205,140,171,206,218,597,315,171,226,227,289,452
GEN0606,9,15,10,20,14,56,18,26,21,24,37,26
GEN0607,487,261,433,360,581,781,520,309,437,713,671,694
GEN0608,59,121,72,111,97,140,77,115,101,226,137,104
GEN0609,31,73,71,40,38,125,76,31,34,101,88,64
GEN0610,7,8,10,13,6,23,11,7,4,8,30,17
GEN0611,114,78,103,149,86,103,202,77,126,178,59,117
GEN0612,183,148,204,270,137,531,38,34,69,87,81,70
GEN0613,5,5,3,2,3,6,15,7,1,11,7,6
GEN0614,423,358,415,328,307,806,319,650,684,838,538,424
GEN0615,793,944,984,852,1295,1752,1253,698,883,1596,1492,726
GEN0616,96,99,86,96,90,209,205,122,89,338,109,84
GEN0617,145,101,57,171,146,346,307,136,98,341,197,145
GEN0618,4065,2566,4296,2205,1659,10240,3598,2925,3636,5273,4819,4132
GEN0619,431,395,390,340,399,1201,280,123,163,141,287,180
GEN0620,14,12,11,18,13,28,22,8,10,21,12,20
GEN0621,52,57,52,67,28,107,100,49,58,89,151,147
GEN0622,48,28,51,57,46,108,211,280,206,406,471,253
GEN0623,26,48,43,39,105,80,13,13,5,23,16,9
GEN0624,2,1,1,2,1,4,2,1,0,0,5,1
GEN0625,227,321,163,191,122,668,317,142,263,524,561,272
GEN0626,28,14,7,22,21,23,22,21,24,53,39,31
GEN0627,93,84,39,108,68,126,119,111,94,135,115,85
GEN0628,79,82,50,86,62,106,62,31,49,67,51,70
GEN0629,231,227,138,181,340,563,202,293,377,494,532,356
GEN0630,22,42,78,43,52,78,58,25,59,54,95,104
GEN0631,28,31,12,22,17,27,35,25,5,61,34,32
GEN0632,114,65,231,172,226,277,181,81,153,270,308,249
GEN0633,577,689,648,577,806,627,787,285,372,1206,1316,500
GEN0634,18,45,47,46,36,34,137,94,130,266,188,134
GEN0635,430,355,462,801,513,1202,919,502,785,646,819,501
GEN0636,131,84,68,150,105,149,183,99,85,116,132,117
GEN0637,20,12,27,26,39,41,39,10,27,47,63,38
GEN0638,836,1118,602,901,508,573,1518,694,566,1666,822,971
GEN0639,13,22,19,20,15,37,21,3,24,24,36,29
GEN0640,305,475,275,334,341,780,519,221,230,870,637,420
GEN0641,34,20,23,32,43,47,53,29,21,63,37,20
GEN0642,107,78,202,131,161,263,202,119,155,271,152,170
GEN0643,6,5,14,5,17,23,10,3,8,18,8,5
GEN0644,15,22,15,16,20,21,17,25,22,33,38,19
GEN0645,324,246,466,339,353,604,652,343,218,559,424,495
GEN0646,61,37,84,85,87,279,98,68,102,219,148,140
GEN0647,50,91,61,74,85,48,122,55,40,85,144,45
GEN0648,26,28,35,36,28,51,42,22,33,51,69,22
GEN0649,142,93,126,177,201,244,176,174,118,358,172,131
GEN0650,1,11,6,5,12,5,8,0,7,11,5,7
GEN0651,4,8,15,11,18,12,17,11,11,16,15,8
GEN0652,90,53,44,55,34,90,15,10,18,23,14,13
GEN0653,19,17,16,15,26,40,25,15,12,19,37,38
GEN0654,14,15,19,21,19,46,20,35,26,39,45,28
GEN0655,48,49,43,92,52,90,118,41,73,148,94,88
GEN0656,59,56,31,32,42,85,90,60,24,126,82,49
GEN0657,27,30,44,39,44,58,80,38,51,92,105,60
GEN0658,790,1010,968,1247,470,1893,1373,675,985,1301,890,1176
GEN0659,218,300,268,224,310,446,428,423,300,530,692,504
GEN0660,373,807,361,383,598,726,477,461,597,498,971,516
GEN0661,61,64,53,82,79,119,50,49,99,139,48,56
GEN0662,38,20,26,27,31,55,59,27,32,58,52,22
GEN0663,13,2,9,6,4,10,15,6,8,7,9,9
GEN0664,44,39,54,41,33,51,13,8,10,10,9,8
GEN0665,3,3,4,3,2,4,3,4,1,1,6,2
GEN0666,14,43,25,43,17,44,46,26,42,25,32,16
GEN0667,146,283,202,319,186,613,487,226,183,466,546,268
GEN0668,603,1325,759,1087,835,2288,1084,802,1587,1826,1294,720
GEN0669,312,308,202,171,333,408,703,333,313,558,272,270
GEN0670,17,11,22,28,16,33,25,14,15,14,27,24
GEN0671,92,162,126,223,91,400,178,114,94,318,264,193
GEN0672,14,24,23,19,15,46,72,95,75,143,108,77
GEN0673,253,211,219,357,239,724,241,285,195,197,331,268
GEN0674,50,45,60,56,73,98,71,24,78,131,88,97
GEN0675,267,403,217,191,169,673,493,340,272,431,710,224
GEN0676,3828,3396,5253,3888,3770,7206,5368,3656,5239,4794,6595,4122
GEN0677,318,186,181,284,313,630,589,204,287,1013,228,415
GEN0678,2567,1918,2551,2641,3009,6760,4204,2336,4240,5881,3813,4789
GEN0679,71,142,68,157,81,267,138,77,120,213,119,180
GEN0680,41,48,40,51,23,60,90,35,44,100,65,46
GEN0681,339,521,905,602,782,937,751,546,329,819,552,808
GEN0682,983,1101,1007,1380,978,2585,1376,961,760,1721,1601,2079
GEN0683,13,23,30,15,48,36,28,24,35,53,18,37
GEN0684,43,65,64,70,38,176,76,64,45,147,115,112
GEN0685,3,5,9,5,2,11,6,4,4,14,21,11
GEN0686,78,54,76,41,49,77,53,23,52,79,79,29
GEN0687,197,285,275,242,311,380,372,449,286,449,394,414
GEN0688,41,87,48,66,48,140,67,50,72,98,161,71
GEN0689,25,12,19,34,25,63,45,36,20,55,79,27
GEN0690,6,2,7,8,9,14,9,7,6,20,17,6
GEN0691,127,85,138,136,133,206,226,128,73,206,288,88
GEN0692,154,242,188,255,271,414,317,157,303,423,387,293
GEN0693,175,108,169,197,200,332,261,114,147,259,374,165
GEN0694,76,95,140,97,120,136,44,57,47,53,72,55
GEN0695,3,6,6,7,7,13,1,2,3,10,5,3
GEN0696,575,1158,1589,742,1135,1513,2177,545,942,2769,1958,1778
GEN0697,26,62,35,85,61,99,85,32,54,98,97,100
GEN0698,29,26,42,36,33,80,48,31,58,122,33,56
GEN0699,229,230,150,243,197,479,1455,844,1945,2019,2009,1815
GEN0700,0,0,1,3,1,3,1,0,1,0,0,1
GEN0701,40,32,57,71,62,75,94,60,55,114,126,45
GEN0702,71,76,44,53,77,59,75,51,71,104,50,63
GEN0703,89,154,155,72,176,117,145,145,144,325,217,190
GEN0704,542,521,299,543,370,661,884,393,881,390,695,696
GEN0705,143,127,142,192,194,183,162,110,117,252,112,160
GEN0706,5,5,7,3,3,8,5,5,2,7,7,2
GEN0707,45,38,31,32,47,91,37,19,36,77,44,33
GEN0708,106,74,55,67,102,152,34,21,9,33,12,13
GEN0709,108,78,59,86,78,142,75,77,104,246,104,116
GEN0710,12,7,4,10,4,10,10,5,13,21,12,9
GEN0711,4,5,6,7,3,14,13,3,6,8,8,5
GEN0712,136,93,92,188,210,426,387,183,187,319,156,136
GEN0713,74,148,60,108,121,160,179,80,145,200,158,132
GEN0714,46,25,86,47,63,125,80,48,52,66,102,116
GEN0715,0,4,3,10,3,4,12,2,7,7,7,6
GEN0716,1195,984,758,1080,743,1945,203,105,189,243,334,162
GEN0717,2,1,2,0,1,0,0,1,1,2,0,0
GEN0718,33,34,51,31,34,121,38,30,44,30,68,56
GEN0719,1799,2391,1763,1240,1885,2763,1982,1271,1309,2688,3386,2457
GEN0720,41,36,52,56,55,72,74,41,43,101,82,76
GEN0721,113,49,142,92,145,113,118,58,77,186,142,119
GEN0722,8,9,6,7,4,19,12,9,11,22,12,14
GEN0723,284,716,612,632,687,656,884,525,682,961,745,789
GEN0724,7,10,11,7,7,19,16,1,9,6,19,11
GEN0725,66,58,51,98,117,231,99,36,134,219,154,150
GEN0726,82,85,72,38,68,138,81,99,69,141,171,109
GEN0727,15,19,11,8,12,11,21,20,11,22,20,11
GEN0728,291,279,209,320,302,574,405,295,192,824,630,161
GEN0729,7,10,10,3,9,17,6,2,9,6,13,17
GEN0730,13,23,21,34,16,74,25,24,15,61,21,25
GEN0731,64,48,88,51,81,128,112,31,70,81,84,54
GEN0732,22,23,14,41,47,62,5,3,13,9,9,7
GEN0733,137,165,127,130,107,281,305,140,103,260,318,154
GEN0734,284,339,167,643,422,623,502,132,250,319,538,267
GEN0735,25,31,58,48,54,74,77,28,45,67,60,54
GEN0736,18,20,16,33,31,24,51,14,34,74,84,36
GEN0737,21,32,21,34,22,27,54,14,37,31,26,21
GEN0738,24,23,33,43,33,102,61,29,36,52,46,58
GEN0739,106,238,234,345,205,535,330,144,232,422,306,232
GEN0740,22,52,35,67,45,66,51,28,41,61,59,43
GEN0741,130,122,119,61,187,317,235,111,127,385,198,184
GEN0742,59,43,50,66,34,100,69,56,96,75,107,55
GEN0743,21,9,25,13,7,33,21,24,12,17,31,16
GEN0744,220,314,205,304,252,286,549,186,213,493,505,294
GEN0745,8,9,8,14,12,20,19,2,6,30,16,14
GEN0746,55,79,66,64,51,174,322,200,181,409,288,117
GEN0747,712,784,990,795,888,1194,591,328,525,1652,902,429
GEN0748,7,14,6,18,3,23,23,9,7,26,16,17
GEN0749,70,52,37,58,37,114,101,66,75,212,94,77
GEN0750,6,7,5,2,2,12,5,3,4,10,5,1
GEN0751,28,33,35,29,23,37,39,18,33,65,51,21
GEN0752,5,5,9,9,4,12,9,5,7,5,15,6
GEN0753,32,52,28,24,16,85,62,48,49,69,45,51
GEN0754,24,33,24,30,37,45,54,26,28,54,42,38
GEN0755,81,82,87,68,134,178,115,63,115,205,92,109
GEN0756,858,665,612,990,1118,1210,2341,693,1107,853,1061,978
GEN0757,95,70,115,128,53,196,165,137,99,147,198,169
GEN0758,134,149,105,165,265,414,338,216,242,226,390,237
GEN0759,60,60,69,50,60,93,108,67,69,87,113,65
GEN0760,33,31,36,77,24,68,87,30,77,130,83,58
GEN0761,11,17,21,8,15,29,24,7,19,19,28,19
GEN0762,3,5,3,9,3,8,6,3,4,5,9,2
GEN0763,69,94,124,81,56,200,70,73,138,247,160,72
GEN0764,1225,883,592,872,798,2614,989,591,889,1268,1590,1021
GEN0765,128,155,88,153,166,258,162,97,131,122,116,137
GEN0766,31,40,17,44,21,42,55,28,30,50,33,56
GEN0767,813,663,634,1076,892,1166,1602,958,459,1076,1509,772
GEN0768,35,30,32,33,28,67,26,18,66,44,48,27
GEN0769,23,28,19,28,13,33,18,13,23,44,28,36
GEN0770,3,10,6,11,11,23,16,9,7,35,10,5
GEN0771,2,14,10,17,31,32,25,10,9,23,27,21
GEN0772,43,18,38,59,37,86,61,45,29,86,90,50
GEN0773,1037,1540,1380,2127,2028,4277,2218,629,2563,2607,2698,1126
GEN0774,40,52,32,56,37,89,80,32,37,88,65,49
GEN0775,17,13,5,15,8,37,19,13,17,22,17,11
GEN0776,18,11,20,27,20,28,43,39,23,49,57,62
GEN0777,33,29,45,74,42,108,84,33,48,89,67,26
GEN0778,9,7,2,3,4,1,0,1,2,1,1,0
GEN0779,51,40,65,60,85,136,182,143,70,56,101,70
GEN0780,133,221,176,175,176,368,321,182,186,332,209,222
GEN0781,98,134,129,132,66,292,137,123,158,188,167,137
GEN0782,176,144,115,122,183,281,365,134,171,325,223,258
GEN0783,3,10,2,6,5,4,7,3,5,4,3,4
GEN0784,2,4,5,3,2,7,4,3,3,8,11,4
GEN0785,418,336,382,544,425,774,680,310,344,1108,911,442
GEN0786,310,298,305,316,606,469,596,413,480,1051,335,350
GEN0787,5,5,10,11,4,18,22,12,25,23,22,13
GEN0788,100,134,93,85,63,147,160,71,107,205,178,154
GEN0789,19,49,42,129,47,123,108,76,63,78,107,70
GEN0790,147,101,101,210,169,233,247,210,134,303,230,204
GEN0791,82,38,87,74,69,182,112,59,74,176,73,128
GEN0792,20,21,19,33,21,38,17,17,14,41,79,40
GEN0793,86,93,89,90,136,236,84,103,110,361,182,77
GEN0794,91,86,40,39,96,150,170,143,134,220,88,116
GEN0795,63,64,85,61,41,121,73,30,39,126,82,79
GEN0796,1,1,0,1,1,4,5,2,3,5,6,5
GEN0797,0,0,0,0,1,0,0,0,0,1,2,0
GEN0798,13,21,14,24,26,34,37,11,21,44,41,9
GEN0799,9,9,3,4,4,5,0,5,3,4,2,4
GEN0800,86,59,69,90,88,154,93,50,116,203,163,134
GEN0801,235,131,166,127,177,516,360,130,176,427,331,358
GEN0802,78,97,73,147,131,240,116,54,43,197,92,113
GEN0803,67,27,27,42,30,65,60,39,31,80,37,41
GEN0804,110,43,72,56,93,157,93,69,66,146,73,61
GEN0805,392,475,387,510,337,872,792,305,409,693,566,680
GEN0806,13,21,17,28,28,43,26,14,24,34,30,32
GEN0807,175,130,309,614,348,750,769,212,250,575,397,403
GEN0808,146,197,198,132,176,491,197,181,184,229,459,220
GEN0809,181,111,63,104,128,145,144,90,65,254,222,199
GEN0810,299,658,630,636,821,1486,157,78,117,123,171,70
GEN0811,13,26,19,22,35,52,28,15,22,38,43,22
GEN0812,254,435,505,374,186,574,309,275,298,469,260,560
GEN0813,20,12,14,10,9,13,16,12,25,36,17,26
GEN0814,10,16,10,24,22,40,24,8,14,37,40,21
GEN0815,12,17,6,19,14,17,15,15,13,9,19,9
GEN0816,126,92,126,135,138,263,201,153,156,359,246,192
GEN0817,24,11,12,19,10,24,26,12,25,17,13,25
GEN0818,40,39,65,33,108,115,73,89,97,172,66,56
GEN0819,7,7,12,10,5,26,31,7,14,27,40,17
GEN0820,358,335,226,407,232,492,392,221,171,604,742,592
GEN0821,1045,1466,734,1052,1463,3126,3573,1523,1809,2152,2272,664
GEN0822,62,60,75,90,64,269,122,88,139,220,171,82
GEN0823,763,883,898,643,1226,1838,1789,982,950,1773,1135,748
GEN0824,162,160,169,173,75,381,204,93,126,361,335,171
GEN0825,1542,1856,1974,2474,2181,3321,14833,7297,11829,26551,16641,14576
GEN0826,80,79,90,97,44,128,120,55,78,91,107,97
GEN0827,5,2,3,5,5,17,6,5,4,6,9,8
GEN0828,640,454,757,671,898,1039,911,631,526,1175,1410,1408
GEN0829,47,33,55,63,66,64,36,57,80,101,105,60
GEN0830,18,21,12,21,8,27,24,8,13,20,11,12
GEN0831,18,28,12,24,20,35,49,36,32,55,45,24
GEN0832,5,1,5,12,3,13,7,1,4,13,9,2
GEN0833,26,56,57,61,16,78,87,63,98,139,73,47
GEN0834,12,9,5,14,23,22,16,8,17,38,18,15
GEN0835,865,268,464,784,880,1357,658,970,835,1572,1076,995
GEN0836,160,120,89,277,143,426,401,140,181,303,308,252
GEN0837,6,7,5,2,5,5,23,27,16,46,55,27
GEN0838,4,3,9,8,10,10,7,5,2,9,9,6
GEN0839,31,17,15,41,36,30,38,23,24,78,47,42
GEN0840,3,6,6,4,2,4,3,2,5,10,8,3
GEN0841,37,54,61,59,63,100,119,53,65,88,82,57
GEN0842,67,43,33,104,61,126,99,22,87,145,124,57
GEN0843,37,13,15,13,10,22,34,9,26,41,16,28
GEN0844,26,15,42,21,25,61,32,24,15,47,29,35
GEN0845,112,116,114,252,111,281,164,169,139,216,254,130
GEN0846,762,440,393,548,748,986,939,540,758,1809,725,1278
GEN0847,610,988,527,794,815,1126,1943,738,488,1164,1374,736
GEN0848,69,67,43,61,101,187,119,42,53,78,141,94
GEN0849,218,269,171,178,237,385,291,266,247,313,414,353
GEN0850,16,21,22,23,31,40,35,6,11,60,24,22
GEN0851,103,106,56,50,125,452,317,108,99,154,225,210
GEN0852,6,8,17,9,5,18,20,9,11,10,19,12
GEN0853,241,236,127,231,134,333,380,221,203,589,262,297
GEN0854,20,12,9,7,5,20,10,13,8,13,12,9
GEN0855,19,2,12,9,16,38,15,9,18,26,19,13
GEN0856,35,35,84,116,99,111,115,89,49,110,121,64
GEN0857,141,118,100,121,145,376,167,136,209,250,244,210
GEN0858,4,4,7,3,8,5,7,6,13,10,13,8
GEN0859,28,25,26,25,30,73,66,37,7,36,53,23
GEN0860,80,62,74,70,41,237,139,47,145,182,121,81
GEN0861,132,85,114,84,93,180,145,96,149,141,133,142
GEN0862,18,12,9,22,9,42,32,6,18,39,45,21
GEN0863,48,96,111,91,115,112,100,55,62,154,62,136
GEN0864,36,40,30,42,39,105,83,54,39,113,76,50
GEN0865,498,309,575,580,484,900,683,925,418,562,1086,765
GEN0866,135,95,168,72,147,223,280,96,253,233,267,326
GEN0867,8,17,6,8,4,18,7,8,11,7,13,5
GEN0868,2,3,1,0,4,1,5,2,2,5,5,0
GEN0869,48,64,65,59,61,97,93,53,102,141,109,100
GEN0870,186,350,257,542,539,773,926,583,477,924,597,399
GEN0871,83,104,82,110,139,94,199,99,70,252,173,136
GEN0872,283,223,271,458,227,567,344,278,205,442,507,377
GEN0873,32,23,30,30,23,34,264,156,222,194,213,233
GEN0874,1,10,7,1,4,19,7,4,4,14,11,17
GEN0875,215,285,193,243,259,348,444,359,165,692,266,294
GEN0876,75,99,52,54,74,218,78,68,67,197,126,68
GEN0877,162,304,99,204,177,677,201,84,171,373,447,229
GEN0878,5,4,8,12,6,8,12,4,8,8,12,12
GEN0879,63,36,56,94,74,141,150,93,81,166,258,132
GEN0880,30,29,17,13,37,46,29,32,34,39,30,31
GEN0881,242,282,220,229,298,742,307,292,144,424,371,393
GEN0882,32,20,22,19,21,40,35,18,21,67,46,45
GEN0883,27,22,19,48,26,29,35,23,11,71,29,37
GEN0884,39,24,17,25,32,39,25,17,25,39,57,36
GEN0885,528,571,725,544,271,1264,679,266,407,719,453,613
GEN0886,48,83,38,80,47,120,480,195,290,954,678,511
GEN0887,17,27,20,23,21,36,28,11,28,42,28,25
GEN0888,11,16,7,24,7,31,31,16,16,22,22,21
GEN0889,7,12,16,16,13,19,24,17,15,34,24,18
GEN0890,904,409,530,560,302,1228,1585,466,926,1105,1168,735
GEN0891,3,4,4,5,5,3,8,2,5,3,4,3
GEN0892,16,11,13,25,17,57,15,21,28,28,32,9
GEN0893,213,144,110,222,152,284,278,184,149,276,373,279
GEN0894,494,401,286,362,393,627,531,286,398,721,945,488
GEN0895,46,64,50,38,75,59,61,52,44,85,100,55
GEN0896,324,187,373,282,345,329,499,94,218,592,315,216
GEN0897,188,166,238,277,157,466,90,120,134,81,134,73
GEN0898,273,304,236,274,343,614,544,335,259,706,324,366
GEN0899,64,45,89,110,43,137,124,53,53,92,160,107
GEN0900,692,763,1063,1089,1079,2884,1042,1123,949,951,990,983
GEN0901,82,121,90,140,40,211,70,80,105,235,90,114
GEN0902,783,827,622,1107,657,2100,1632,850,806,1014,1236,1168
GEN0903,7,17,7,10,19,23,19,10,10,23,12,14
GEN0904,289,286,369,356,304,549,359,268,393,489,462,454
GEN0905,8,4,8,1,8,23,11,10,1,11,19,16
GEN0906,2,4,7,10,1,11,8,6,0,8,19,12
GEN0907,159,133,142,123,132,280,231,184,241,142,178,208
